	LabF_684508	LabF_684512	LabF_684516	LabF_684520	LabF_684524	LabF_684528	LabF_684483	LabF_684487	LabF_684491	LabF_684495	LabF_684499	LabF_684503
1-monoolein	6047	2902	1452	3428	2985	16334	244142	6968	1928	19228	3029	23277
1-monostearin	9771	6521	1302	2781	5789	4338	16848	10206	9398	1013	4190	11114
2-hydroxybutanoic acid	13238	29774	4134	4419	13334	2115	11587	65635	32433	1823	4429	30427
2-hydroxyglutaric acid	7160	11501	3202	17238	20376	1109	8276	12402	20964	25913	2709	70972
2-ketoisocaproic acid	812	2011	738	2550	871	628	2096	3472	10669	432	1055	1005
2-monopalmitin	1511	622	883	796	623	5716	3405	3196	1457	1416	1275	14445
2-monostearin NIST	2060	938	397	939	1239	1065	6478	17845	3025	53160	3327	7961
3-aminoisobutyric acid	9147	40522	22759	18715	8964	12366	59944	36613	120554	4214	27986	9884
3-hydroxybutanoic acid	19381	11203	11711	1426	4410	3356	5506	4003	21119	11858	5805	3459
3-hydroxypropionic acid	2166	8594	3124	4741	3441	2218	8319	56521	19435	2705	4308	5495
3-phenyllactic acid	2633	7480	3305	734	943	541	2426	12557	17048	739	423	9848
5-aminovaleric acid	1501190	836534	711249	619870	126375	150580	76964	511562	1912850	17438	23589	1395852
acetohydroxamic acid	662	2877	1952	2788	1445	783	9080	5270	4554	2470	4116	788
acetophenone NIST	3382	10745	6759	4902	3094	4200	15999	13696	34497	1594	4575	3823
adipic acid	825	3490	1417	2145	1439	1078	2980	2047	6779	564	1894	1286
alanine	1270281	1391469	861432	996452	1404666	200022	648513	1693813	2315068	1515847	1028709	1234275
alpha ketoglutaric acid	240	347	215	1660	879	112	1676	2602	1380	1300	719	1483
aminomalonate	2511	5903	1736	7509	5187	413	3861	1772	3231	8758	6570	6206
arabinose	867	965	1427	4682	1370	739	3535	3188	2986	3943	1931	6034
arabitol	1534	1147	1232	753	7586	558	2961	2508	3721	4205	36283	127
arachidic acid	924	874	5941	2843	552	6467	4588	7180	825	3089	467	7173
arachidonic acid	35469	8788	8700	9300	12034	7634	6903	29229	9404	13346	5189	17088
arginine + ornithine	182457	96805	50449	93869	80062	32119	41185	85926	126418	301385	68484	29919
asparagine	20202	18288	18715	92178	56070	5353	21915	25104	43070	106401	193978	91857
aspartic acid	99548	305598	155995	330864	201388	34084	25672	177059	83154	809812	383942	238548
behenic acid	8140	14017	28915	11843	6139	15134	52030	42960	16423	27354	9463	32074
benzoic acid	4714	74353	5003	22050	16377	5028	37298	16114	41580	3687	7405	4606
benzylalcohol	2772	14543	6383	8068	7270	3541	19171	11318	35194	2189	9349	4072
beta-alanine	1075	2013	783	5839	736	354	1699	1182	2077	8784	512	1496
beta-gentiobiose	616	1199	381	673	1343	425	2096	928	1612	10859	631	1686
beta-sitosterol	4527	14937	4937	7729	20630	9030	8939	7337	5766	19623	9669	15497
caffeic acid	1107	3499	769	2161	1929	1402	1209	751	8456	947	2573	2137
cerotic acid	674	2773	1319	2027	1636	2187	2927	2877	6689	870	2180	2521
cholesterol	834010	2165933	149124	854929	381349	378719	211857	165395	270794	155361	577	136669
citric acid	3849	1943	778	23570	14681	664	12321	6972	30195	54542	16171	5683
citrulline	40775	18557	16120	16294	22821	5951	9926	6561	9024	21107	36001	17907
creatinine	170545	21561	63410	794	171620	13563	287310	119065	101944	50841	64232	76987
cyano-L-alanine	107	480	237	342	390	128	688	192	3883	268	1655	67
cysteine	18679	30162	8226	5341	20632	1696	5736	5141	5850	20290	14887	32079
cystine	11116	13704	3975	27107	28925	1683	29350	957	1096	81284	65071	20798
dihydroabietic acid	647	2270	757	855	927	881	952	1300	2509	345	711	1213
elaidic acid	19069	9996	24388	5115	658	95170	28282	100557	4566	21001	1008	7439
erythritol	1850	624	1003	232	6270	158	13232	17946	2135	4949	5845	4985
ethanolamine	304432	293817	442421	612937	563961	370312	1651201	823024	2458026	227156	747993	300499
fructose	231	854	240	2898	2017	161	1649	1870	9301	2515	909015	2418
fucose 1 + rhamnose 2	196614	121656	8961	45593	112318	33314	41893	122773	548433	7228	25680	10719
fucose 2	52475	38593	3069	12527	33570	9061	11755	35179	161541	2419	6871	3566
fumaric acid	5669	66879	2983	35720	11684	1704	24521	6456	5895	13812	1726	5482
GABA	10186	64825	12519	38846	13015	5819	11223	26548	235832	18565	11726	216502
galactose	4026	7220	45869	4750	30979	6091	1250117	9592	7592	14386	129292	19599
galacturonic acid	15223	13390	5752	3081	67662	2333	2288	10748	43031	12134	101109	18988
gamma-tocopherol	394	2555	1335	860	491	1309	1281	1962	1799	931	631	3588
gluconic acid	95	336	135	743	196	48	455	675	3018	9523	678	233
glucose	38129	148455	45770	111537	49202	17973	3937010	12422	62106	133277	376330	83974
glucuronic acid	2500	12527	1881	2576	94705	475	33230	7151	75600	245251	94564	22994
glutamic acid	148951	156303	78642	299297	174935	28947	102170	201792	706098	641605	258868	816014
glutamine	127479	153956	84261	226672	182623	22210	34784	72795	87198	389721	120638	260177
glutaric acid	382	3653	1135	807	442	223	975	1291	2096	286	794	390
glyceric acid	6124	2845	2865	16724	7958	1095	8016	15024	6315	8686	2673	6220
glycerol	67965	60928	190113	203316	113990	129113	898335	28720	91701	256847	209772	233914
glycerol-3-galactoside NIST	384	453	340	606	657	107	22454	933	774	26906	3964	1010
glycerol-alpha-phosphate	2872	2805	2013	15505	4197	1847	2544	12149	774	11516	1780	2100
glycine	276549	667989	385936	915236	1988850	82748	930111	342356	994160	1165160	1408433	872536
glycolic acid	1174	4194	1749	2541	1900	1004	6941	4234	9669	1345	4062	3536
glycyl proline	9997	28351	9292	17054	13263	10803	872	11864	4992	17368	25126	6458
guanine	3569	2237	98	20092	114	106	554	214	464	397	190	77
guanosine	523	6359	226	12045	621	296	1346	218	683	5478	489	170
heptadecanoic acid	21121	15542	39370	14075	5346	101891	55279	110099	26711	69786	5827	62875
homoserine	1056	557	433	711	606	161	390	764	1457	668	605	297
hydrocinnamic acid	1205	23385	47891	9855	1199	717	2984	1876	55023	745	986	126814
hydroxycarbamate NIST	355	2654	390	1699	800	904	1029	600	1844	444	524	580
hydroxylamine	4567	24896	7662	19581	20097	11668	34332	14613	40928	6618	10181	8082
icosenoic acid	232502	12010	13639	3484	9118	46601	15685	42453	90540	4676	2590	569931
indole-3-acetate	2807	2735	635	602	233	81	838	1439	1051	1655	487	1034
indole-3-lactate	2500	22614	1130	509	617	235	673	8576	4560	394	207	42569
inosine	1020	4417	384	26140	1781	497	2472	404	1980	20041	3099	7987
inositol-4-monophosphate	538	3804	173	939	142	323	309	294	664	108	164	173
inositol myo-	1393	8686	5249	7485	30490	357	16955	3546	19648	21003	16014	31456
isoleucine	870042	680356	276395	757283	680840	159157	302399	684828	235961	1364548	780380	694604
isolinoleic acid NIST	14900	10916	22319	3288	4918	12324	2441	29391	9553	645	617	59240
isothreonic acid	410	1262	166	186	1491	152	1932	568	1631	2757	752	3711
